year,driver,championship_points,championship_wins,championship_position
2008,glock,25.0,0,10
2008,webber,21.0,0,11
2008,piquet_jr,19.0,0,12
2008,rosberg,17.0,0,13
2008,barrichello,11.0,0,14
2008,nakajima,9.0,0,15
2008,coulthard,8.0,0,16
2008,bourdais,4.0,0,17
2008,button,3.0,0,18
2008,fisichella,0.0,0,19
2008,sutil,0.0,0,20
2008,sato,0.0,0,21
2008,davidson,0.0,0,22
2009,button,95.0,6,1
2009,vettel,84.0,4,2
2009,barrichello,77.0,2,3
2009,webber,69.5,2,4
2009,hamilton,49.0,2,5
2009,raikkonen,48.0,1,6
2009,rosberg,34.5,0,7
2009,trulli,32.5,0,8
2009,alonso,26.0,0,9
2009,glock,24.0,0,10
2009,massa,22.0,0,11
2009,kovalainen,22.0,0,12
2009,heidfeld,19.0,0,13
2009,kubica,17.0,0,14
2009,fisichella,8.0,0,15
2009,buemi,6.0,0,16
2009,sutil,5.0,0,17
2009,kobayashi,3.0,0,18
2009,bourdais,2.0,0,19
2009,nakajima,0.0,0,20
2009,piquet_jr,0.0,0,21
2009,liuzzi,0.0,0,22
2009,grosjean,0.0,0,23
2009,alguersuari,0.0,0,24
2009,badoer,0.0,0,25
2010,vettel,256.0,5,1
2010,alonso,252.0,5,2
2010,webber,242.0,4,3
2010,hamilton,240.0,3,4
2010,button,214.0,2,5
2010,massa,144.0,0,6
2010,rosberg,142.0,0,7
2010,kubica,136.0,0,8
2010,michael_schumacher,72.0,0,9
2010,barrichello,47.0,0,10
2010,sutil,47.0,0,11
2010,kobayashi,32.0,0,12
2010,petrov,27.0,0,13
2010,hulkenberg,22.0,0,14
2010,liuzzi,21.0,0,15
2010,buemi,8.0,0,16
2010,rosa,6.0,0,17
2010,heidfeld,6.0,0,18
2010,alguersuari,5.0,0,19
2010,kovalainen,0.0,0,20
2010,trulli,0.0,0,21
2010,chandhok,0.0,0,22
2010,bruno_senna,0.0,0,23
2010,grassi,0.0,0,24
2010,glock,0.0,0,25
2010,yamamoto,0.0,0,26
2010,klien,0.0,0,27
2011,vettel,392.0,11,1
2011,button,270.0,3,2
2011,webber,258.0,1,3
2011,alonso,257.0,1,4
2011,hamilton,227.0,3,5
2011,massa,118.0,0,6
2011,rosberg,89.0,0,7
2011,michael_schumacher,76.0,0,8
2011,sutil,42.0,0,9
2011,petrov,37.0,0,10
2011,heidfeld,34.0,0,11
2011,kobayashi,30.0,0,12
2011,resta,27.0,0,13
2011,alguersuari,26.0,0,14
2011,buemi,15.0,0,15
2011,perez,14.0,0,16
2011,barrichello,4.0,0,17
2011,bruno_senna,2.0,0,18
2011,maldonado,1.0,0,19
2011,rosa,0.0,0,20
2011,trulli,0.0,0,21
2011,kovalainen,0.0,0,22
2011,liuzzi,0.0,0,23
2011,ambrosio,0.0,0,24
2011,glock,0.0,0,25
2011,karthikeyan,0.0,0,26
2011,ricciardo,0.0,0,27
2011,chandhok,0.0,0,28
2012,vettel,281.0,5,1
2012,alonso,278.0,3,2
2012,raikkonen,207.0,1,3
2012,hamilton,190.0,4,4
2012,button,188.0,3,5
2012,webber,179.0,2,6
2012,massa,122.0,0,7
2012,grosjean,96.0,0,8
2012,rosberg,93.0,1,9
2012,perez,66.0,0,10
2012,hulkenberg,63.0,0,11
2012,kobayashi,60.0,0,12
2012,michael_schumacher,49.0,0,13
2012,resta,46.0,0,14
2012,maldonado,45.0,1,15
2012,bruno_senna,31.0,0,16
2012,vergne,16.0,0,17
2012,ricciardo,10.0,0,18
2012,petrov,0.0,0,19
2012,glock,0.0,0,20
2012,pic,0.0,0,21
2012,kovalainen,0.0,0,22
2012,ambrosio,0.0,0,23
2012,karthikeyan,0.0,0,24
2012,rosa,0.0,0,25
2013,vettel,397.0,13,1
2013,alonso,242.0,2,2
2013,webber,199.0,0,3
2013,hamilton,189.0,1,4
2013,raikkonen,183.0,1,5
2013,rosberg,171.0,2,6
2013,grosjean,132.0,0,7
2013,massa,112.0,0,8
2013,button,73.0,0,9
2013,hulkenberg,51.0,0,10
2013,perez,49.0,0,11
2013,resta,48.0,0,12
2013,sutil,29.0,0,13
2013,ricciardo,20.0,0,14
2013,vergne,13.0,0,15
2013,gutierrez,6.0,0,16
2013,bottas,4.0,0,17
2013,maldonado,1.0,0,18
2013,jules_bianchi,0.0,0,19
2013,pic,0.0,0,20
2013,garde,0.0,0,21
2013,kovalainen,0.0,0,22
2013,chilton,0.0,0,23
2014,hamilton,384.0,11,1
2014,rosberg,317.0,5,2
2014,ricciardo,238.0,3,3
2014,bottas,186.0,0,4
2014,vettel,167.0,0,5
2014,alonso,161.0,0,6
2014,massa,134.0,0,7
2014,button,126.0,0,8
2014,hulkenberg,96.0,0,9
2014,perez,59.0,0,10
2014,kevin_magnussen,55.0,0,11
2014,raikkonen,55.0,0,12
2014,vergne,22.0,0,13
2014,grosjean,8.0,0,14
2014,kvyat,8.0,0,15
2014,maldonado,2.0,0,16
2014,jules_bianchi,2.0,0,17
2014,sutil,0.0,0,18
2014,ericsson,0.0,0,19
2014,gutierrez,0.0,0,20
2014,chilton,0.0,0,21
2014,kobayashi,0.0,0,22
2014,stevens,0.0,0,23
2014,lotterer,0.0,0,0
2015,hamilton,381.0,10,1
2015,rosberg,322.0,6,2
2015,vettel,278.0,3,3
2015,raikkonen,150.0,0,4
2015,bottas,136.0,0,5
2015,massa,121.0,0,6
2015,kvyat,95.0,0,7
2015,ricciardo,92.0,0,8
2015,perez,78.0,0,9
2015,hulkenberg,58.0,0,10
2015,grosjean,51.0,0,11
2015,max_verstappen,49.0,0,12
2015,nasr,27.0,0,13
2015,maldonado,27.0,0,14
2015,sainz,18.0,0,15
2015,button,16.0,0,16
2015,alonso,11.0,0,17
2015,ericsson,9.0,0,18
2015,merhi,0.0,0,19
2015,rossi,0.0,0,20
2015,stevens,0.0,0,21
2015,kevin_magnussen,0.0,0,0
2016,rosberg,385.0,9,1
2016,hamilton,380.0,10,2
2016,ricciardo,256.0,1,3
2016,vettel,212.0,0,4
2016,max_verstappen,204.0,1,5
2016,raikkonen,186.0,0,6
2016,perez,101.0,0,7
2016,bottas,85.0,0,8
2016,hulkenberg,72.0,0,9
2016,alonso,54.0,0,10
2016,massa,53.0,0,11
2016,sainz,46.0,0,12
2016,grosjean,29.0,0,13
2016,kvyat,25.0,0,14
2016,button,21.0,0,15
2016,kevin_magnussen,7.0,0,16
2016,nasr,2.0,0,17
2016,jolyon_palmer,1.0,0,18
2016,wehrlein,1.0,0,19
2016,vandoorne,1.0,0,20
2016,gutierrez,0.0,0,21
2016,ericsson,0.0,0,22
2016,ocon,0.0,0,23
2016,haryanto,0.0,0,24
2017,hamilton,363.0,9,1
2017,vettel,317.0,5,2
2017,bottas,305.0,3,3
2017,raikkonen,205.0,0,4
2017,ricciardo,200.0,1,5
2017,max_verstappen,168.0,2,6
2017,perez,100.0,0,7
2017,ocon,87.0,0,8
2017,sainz,54.0,0,9
2017,hulkenberg,43.0,0,10
2017,massa,43.0,0,11
2017,stroll,40.0,0,12
2017,grosjean,28.0,0,13
2017,kevin_magnussen,19.0,0,14
2017,alonso,17.0,0,15
2017,vandoorne,13.0,0,16
2017,jolyon_palmer,8.0,0,17
2017,wehrlein,5.0,0,18
2017,kvyat,5.0,0,19
2017,ericsson,0.0,0,20
2017,gasly,0.0,0,21
2017,giovinazzi,0.0,0,22
2017,brendon_hartley,0.0,0,23
2017,button,0.0,0,0
2017,resta,0.0,0,0
2018,hamilton,408.0,11,1
2018,vettel,320.0,5,2
2018,raikkonen,251.0,1,3
2018,max_verstappen,249.0,2,4
2018,bottas,247.0,0,5
2018,ricciardo,170.0,2,6
2018,hulkenberg,69.0,0,7
2018,perez,62.0,0,8
2018,kevin_magnussen,56.0,0,9
2018,sainz,53.0,0,10
2018,alonso,50.0,0,11
2018,ocon,49.0,0,12
2018,leclerc,39.0,0,13
2018,grosjean,37.0,0,14
2018,gasly,29.0,0,15
2018,vandoorne,12.0,0,16
2018,ericsson,9.0,0,17
2018,stroll,6.0,0,18
2018,brendon_hartley,4.0,0,19
2018,sirotkin,1.0,0,20
2019,hamilton,413.0,11,1
2019,bottas,326.0,4,2
2019,max_verstappen,278.0,3,3
2019,leclerc,264.0,2,4
2019,vettel,240.0,1,5
2019,sainz,96.0,0,6
2019,gasly,95.0,0,7
2019,albon,92.0,0,8
2019,ricciardo,54.0,0,9
2019,perez,52.0,0,10
2019,norris,49.0,0,11
2019,raikkonen,43.0,0,12
2019,kvyat,37.0,0,13
2019,hulkenberg,37.0,0,14
2019,stroll,21.0,0,15
2019,kevin_magnussen,20.0,0,16
2019,giovinazzi,14.0,0,17
2019,grosjean,8.0,0,18
2019,kubica,1.0,0,19
2019,russell,0.0,0,20
2020,hamilton,347.0,11,1
2020,bottas,223.0,2,2
2020,max_verstappen,214.0,2,3
2020,perez,125.0,1,4
2020,ricciardo,119.0,0,5
2020,sainz,105.0,0,6
2020,albon,105.0,0,7
2020,leclerc,98.0,0,8
2020,norris,97.0,0,9
2020,gasly,75.0,1,10
2020,stroll,75.0,0,11
2020,ocon,62.0,0,12
2020,vettel,33.0,0,13
2020,kvyat,32.0,0,14
2020,hulkenberg,10.0,0,15
2020,raikkonen,4.0,0,16
2020,giovinazzi,4.0,0,17
2020,russell,3.0,0,18
2020,grosjean,2.0,0,19
2020,kevin_magnussen,1.0,0,20
2020,latifi,0.0,0,21
2020,aitken,0.0,0,22
2020,pietro_fittipaldi,0.0,0,23
2021,max_verstappen,395.5,10,1
2021,hamilton,387.5,8,2
2021,bottas,226.0,1,3
2021,perez,190.0,1,4
2021,sainz,164.5,0,5
2021,norris,160.0,0,6
2021,leclerc,159.0,0,7
2021,ricciardo,115.0,1,8
2021,gasly,110.0,0,9
2021,alonso,81.0,0,10
2021,ocon,74.0,1,11
2021,vettel,43.0,0,12
2021,stroll,34.0,0,13
2021,tsunoda,32.0,0,14
2021,russell,16.0,0,15
2021,raikkonen,10.0,0,16
2021,latifi,7.0,0,17
2021,giovinazzi,3.0,0,18
2021,mick_schumacher,0.0,0,19
2021,kubica,0.0,0,20
2021,mazepin,0.0,0,21
2022,max_verstappen,454.0,15,1
2022,leclerc,308.0,3,2
2022,perez,305.0,2,3
2022,russell,275.0,1,4
2022,sainz,246.0,1,5
2022,hamilton,240.0,0,6
2022,norris,122.0,0,7
2022,ocon,92.0,0,8
2022,alonso,81.0,0,9
2022,bottas,49.0,0,10
2022,ricciardo,37.0,0,11
2022,vettel,37.0,0,12
2022,kevin_magnussen,25.0,0,13
2022,gasly,23.0,0,14
2022,stroll,18.0,0,15
2022,mick_schumacher,12.0,0,16
2022,tsunoda,12.0,0,17
2022,zhou,6.0,0,18
2022,albon,4.0,0,19
2022,latifi,2.0,0,20
2022,de_vries,2.0,0,21
2022,hulkenberg,0.0,0,22
2023,max_verstappen,575.0,19,1
2023,perez,285.0,2,2
2023,hamilton,234.0,0,3
2023,alonso,206.0,0,4
2023,leclerc,206.0,0,5
2023,norris,205.0,0,6
2023,sainz,200.0,1,7
2023,russell,175.0,0,8
2023,piastri,97.0,0,9
2023,stroll,74.0,0,10
2023,gasly,62.0,0,11
2023,ocon,58.0,0,12
2023,albon,27.0,0,13
2023,tsunoda,17.0,0,14
2023,bottas,10.0,0,15
2023,hulkenberg,9.0,0,16
2023,ricciardo,6.0,0,17
2023,zhou,6.0,0,18
2023,kevin_magnussen,3.0,0,19
2023,lawson,2.0,0,20
2023,sargeant,1.0,0,21
2023,de_vries,0.0,0,22
2024,max_verstappen,437.0,9,1
2024,norris,374.0,4,2
2024,leclerc,356.0,3,3
2024,piastri,292.0,2,4
2024,sainz,290.0,2,5
2024,russell,245.0,2,6
2024,hamilton,223.0,2,7
2024,perez,152.0,0,8
2024,alonso,70.0,0,9
2024,gasly,42.0,0,10
2024,hulkenberg,41.0,0,11
2024,tsunoda,30.0,0,12
2024,stroll,24.0,0,13
2024,ocon,23.0,0,14
2024,kevin_magnussen,16.0,0,15
2024,albon,12.0,0,16
2024,ricciardo,12.0,0,17
2024,bearman,7.0,0,18
2024,colapinto,5.0,0,19
2024,zhou,4.0,0,20
2024,lawson,4.0,0,21
2024,bottas,0.0,0,22
2024,sargeant,0.0,0,23
2024,doohan,0.0,0,24
